GasDate,FacilityName,FacilityId,FacilityType,Demand,Supply,TransferIn,TransferOut,HeldInStorage,CushionGasStorage,State,LocationName,LocationId,LastUpdated
2026/08/16,Adelaide Brighton,555091,BBLARGE,8.225,0.000,0.000,0.000,,,SA,Adelaide,550016,2026/09/08 13:00:01
2026/08/16,AGP,580010,PIPE,14.369,0.000,14.686,0.000,,,NT,Darwin,580001,2026/08/17 12:46:30
2026/08/16,AGP,580010,PIPE,6.704,31.770,0.000,17.636,,,NT,Regional - NT,590017,2026/08/17 12:46:30
2026/08/16,APLNG Pipeline,540093,PIPE,1677.656,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/08/21 11:30:07
2026/08/16,APLNG Pipeline,540093,PIPE,0.000,1344.432,539.394,165.628,,,QLD,Regional - QLD,590001,2026/08/21 11:30:07
2026/08/16,Arcadia,540101,PROD,0.000,91.932,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 10:28:13
2026/08/16,ATGP,640013,PIPE,0.000,43.417,0.000,43.417,,,QLD,Regional - QLD,590001,2026/08/17 12:01:10
2026/08/16,ATHENA,535014,PROD,0.000,16.475,0.000,0.000,,,VIC,Iona Hub,530016,2026/08/21 09:58:18
2026/08/16,Atlas,544261,PROD,0.000,43.417,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:01:17
2026/08/16,Atlas East Central Processing Facility,640008,PROD,0.000,31.260,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 09:31:37
2026/08/16,Atlas to Reedy Creek Pipeline,640007,PIPE,0.000,31.257,0.000,29.103,,,QLD,Regional - QLD,590001,2026/08/17 12:46:30
2026/08/16,Australia Pacific LNG,544273,LNGEXPORT,1677.656,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/08/17 12:00:26
2026/08/16,Australian Paper (Opal),535021,BBLARGE,8.057,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/08/17 11:00:01
2026/08/16,B1PL,540077,PIPE,0.035,41.419,0.000,40.583,,,QLD,Regional - QLD,590001,2026/08/17 11:00:52
2026/08/16,B2PL,540071,PIPE,0.000,56.872,5.026,59.664,,,QLD,Regional - QLD,590001,2026/08/17 12:30:04
2026/08/16,Bairnsdale Power Station,535020,BBGPG,0.000,0.000,0.000,0.000,,,VIC,Regional - VIC,590012,2026/08/17 11:00:42
2026/08/16,BCF,540047,COMPRESSOR,0.000,0.000,62.400,62.400,,,QLD,Regional - QLD,590001,2026/08/21 13:18:42
2026/08/16,Bell Bay CCGT,577016,BBGPG,32.452,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/08/18 12:01:00
2026/08/16,Bell Bay GGT,577014,BBGPG,0.001,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/08/18 12:01:00
2026/08/16,Bell Bay OCGT,577015,BBGPG,0.000,0.000,0.000,0.000,,,TAS,Regional - TAS,590014,2026/08/18 12:01:00
2026/08/16,Bellevue,540083,PROD,0.000,156.732,0.000,0.000,,,QLD,Regional - QLD,590001,2026/09/10 11:36:06
2026/08/16,BGP,580020,PIPE,0.305,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/08/17 12:46:30
2026/08/16,BlueScope,523204,BBLARGE,9.804,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/08/17 12:01:05
2026/08/16,Bolivar,555008,BBGPG,0.000,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/08/17 12:02:48
2026/08/16,Bomaderry Gas Pipeline,523202,PIPE,0.000,0.000,22.171,0.000,,,NSW,Regional - NSW,590011,2026/08/17 12:01:05
2026/08/16,BPP,530030,PIPE,2.510,20.050,0.000,17.542,,,VIC,Gippsland,590009,2026/08/17 11:00:01
2026/08/16,Braemar 2 Power Station,544085,BBGPG,0.000,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:30:04
2026/08/16,Braemar Power Station,544252,BBGPG,0.035,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 11:00:52
2026/08/16,BWP,540096,PIPE,0.000,0.000,0.000,9.986,,,QLD,Wallumbilla Hub,540032,2026/08/17 12:46:30
2026/08/16,BWP,540096,PIPE,0.000,10.850,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:46:30
2026/08/16,CGP,540059,PIPE,0.000,0.000,62.446,0.000,,,QLD,Ballera,540078,2026/08/17 12:46:30
2026/08/16,CGP,540059,PIPE,67.300,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:46:30
2026/08/16,Channel Island Power Station,580231,BBGPG,14.369,0.000,0.000,0.000,,,NT,Darwin,580001,2026/08/17 12:46:30
2026/08/16,Colongra,523120,BBGPG,0.000,0.000,0.000,0.000,,,NSW,Regional - NSW,590011,2026/08/17 12:00:05
2026/08/16,ColongraGP,520090,PIPE,0.000,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/08/17 12:00:05
2026/08/16,ColongraGP,520090,PIPE,0.000,0.000,0.000,0.000,,,NSW,Regional - NSW,590011,2026/08/17 12:00:05
2026/08/16,Combabula,540094,PROD,0.000,292.344,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/21 11:30:07
2026/08/16,Condabri Central,540080,PROD,0.000,142.467,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/21 11:30:07
2026/08/16,Condabri North,540090,PROD,0.000,166.370,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/21 11:30:07
2026/08/16,Condabri South,540086,PROD,0.000,155.520,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/21 11:30:07
2026/08/16,Condamine Power Station,544274,BBGPG,0.000,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/09/10 11:36:04
2026/08/16,CRWP,540098,PIPE,0.000,0.000,156.819,0.000,,,QLD,Wallumbilla Hub,540032,2026/08/17 10:28:04
2026/08/16,CRWP,540098,PIPE,0.000,232.589,38.976,431.485,,,QLD,Regional - QLD,590001,2026/08/17 10:28:04
2026/08/16,CWP,520054,PIPE,3.698,0.000,4.027,0.000,,,NSW,Regional - NSW,590011,2026/08/17 12:46:30
2026/08/16,Daandine,540050,PROD,0.000,56.868,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:30:04
2026/08/16,Dandenong LNG,530038,STOR,0.000,0.202,0.000,0.000,609.280,27.889,VIC,Melbourne,590008,2026/08/17 12:46:30
2026/08/16,DDP,540097,PIPE,0.000,0.000,0.000,208.982,,,QLD,Wallumbilla Hub,540032,2026/08/17 12:01:08
2026/08/16,DDP,540097,PIPE,0.004,521.386,131.972,445.179,,,QLD,Regional - QLD,590001,2026/08/17 12:01:08
2026/08/16,DDPS,544027,BBGPG,0.004,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:01:08
2026/08/16,Diamantina Power Station,544077,BBGPG,30.777,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:46:30
2026/08/16,Dry Creek Power Station,555026,BBGPG,0.000,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/08/17 11:31:05
2026/08/16,EGP,520047,PIPE,126.051,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/08/17 12:01:05
2026/08/16,EGP,520047,PIPE,16.672,0.000,0.000,0.000,,,NSW,Canberra,520009,2026/08/17 12:01:05
2026/08/16,EGP,520047,PIPE,0.000,196.012,0.000,82.319,,,VIC,Longford Hub,530015,2026/08/17 12:01:05
2026/08/16,EGP,520047,PIPE,5.142,0.000,0.000,22.171,,,NSW,Regional - NSW,590011,2026/08/17 12:01:05
2026/08/16,EGP,520047,PIPE,0.845,73.514,0.000,0.000,,,VIC,Regional - VIC,590012,2026/08/17 12:01:05
2026/08/16,EO4PL,540055,PIPE,0.000,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/09/10 11:36:06
2026/08/16,Eurombah Creek,540089,PROD,0.000,144.594,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/21 11:30:07
2026/08/16,Fairview,540070,PROD,0.000,278.463,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 10:28:13
2026/08/16,GLNG (Curtis Island),544276,LNGEXPORT,824.004,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/08/17 10:28:04
2026/08/16,GLNG Pipeline,540092,PIPE,824.004,0.000,0.000,0.000,,,QLD,Curtis Island,540030,2026/08/17 10:28:04
2026/08/16,GLNG Pipeline,540092,PIPE,0.000,413.912,431.485,30.051,,,QLD,Regional - QLD,590001,2026/09/10 11:36:06
2026/08/16,Hallett,555029,BBGPG,0.000,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/08/17 11:31:05
2026/08/16,Hunter Power Station,523210,BBGPG,0.000,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/08/17 12:46:30
2026/08/16,ICF,530071,COMPRESSOR,0.000,0.000,7.000,7.000,,,VIC,Iona Hub,530016,2026/08/17 08:35:03
2026/08/16,Iona UGS,530042,STOR,22.820,54.579,0.000,0.000,13922.877,0.000,VIC,Iona Hub,530016,2026/08/17 08:30:02
2026/08/16,Jeerelang,533161,BBGPG,0.000,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/08/17 11:00:01
2026/08/16,Jordan,540088,PROD,0.000,333.640,0.000,0.000,,,QLD,Regional - QLD,590001,2026/09/10 11:36:06
2026/08/16,Katherine Power Station,580233,BBGPG,0.000,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/08/17 12:46:30
2026/08/16,Kenya,540075,PROD,0.000,120.597,0.000,0.000,,,QLD,Regional - QLD,590001,2026/09/10 11:36:06
2026/08/16,Kincora,544253,PROD,0.000,4.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:46:30
2026/08/16,KKLP,523209,PIPE,0.000,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/08/17 12:46:30
2026/08/16,Kogan North,540061,PROD,0.000,4.174,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:46:30
2026/08/16,Ladbroke Grove PS,555086,BBGPG,2.322,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/08/17 12:46:30
2026/08/16,Lang Lang,530039,PROD,0.000,20.050,0.000,0.000,,,VIC,Gippsland,590009,2026/08/17 10:46:59
2026/08/16,Laverton,533201,BBGPG,0.000,0.000,0.000,0.000,,,VIC,Geelong,590005,2026/08/17 11:00:01
2026/08/16,Longford,530040,PROD,0.000,606.496,0.000,0.000,,,VIC,Longford Hub,530015,2026/08/17 08:00:12
2026/08/16,Loy Yang B,533163,BBGPG,0.000,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/08/17 11:00:51
2026/08/16,LYB Transmission Pipeline,535023,PIPE,0.001,0.000,0.000,0.000,,,VIC,Gippsland,590009,2026/08/17 11:00:51
2026/08/16,MAPS,550054,PIPE,35.558,0.000,0.000,0.000,,,SA,Adelaide,550016,2026/08/17 11:31:05
2026/08/16,MAPS,550054,PIPE,0.000,35.295,45.122,0.000,,,SA,Moomba Hub,550017,2026/08/17 11:31:05
2026/08/16,MAPS,550054,PIPE,48.701,0.000,12.000,0.000,,,SA,Regional - SA,590013,2026/08/17 11:31:05
2026/08/16,McArthur River Mine,580220,BBGPG,9.467,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/08/17 09:06:17
2026/08/16,MCF,550050,COMPRESSOR,0.000,0.000,0.000,0.000,,,SA,Moomba Hub,550017,2026/08/17 12:46:30
2026/08/16,Mereenie,580040,PROD,0.000,26.073,0.000,0.000,,,NT,Regional - NT,590017,2026/08/17 11:48:37
2026/08/16,Meridian,540064,PROD,0.000,47.767,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 09:39:15
2026/08/16,Mintaro Power Station,555031,BBGPG,0.000,0.000,0.000,0.000,,,SA,Regional - SA,590013,2026/08/17 11:31:05
2026/08/16,Moomba,550045,PROD,0.000,182.000,0.000,0.000,,,SA,Moomba Hub,550017,2026/08/21 13:18:42
2026/08/16,Moomba Storage,550046,STOR,0.000,0.000,0.000,0.000,6305.600,0.000,SA,Moomba Hub,550017,2026/08/21 13:18:42
2026/08/16,Mortlake PS,530063,BBGPG,0.000,0.000,0.000,0.000,,,VIC,Regional - VIC,590012,2026/08/17 07:20:00
2026/08/16,MPL,530061,PIPE,0.000,0.000,0.000,0.000,,,VIC,Iona Hub,530016,2026/08/17 07:20:00
2026/08/16,MPL,530061,PIPE,0.000,0.000,0.000,0.000,,,VIC,Regional - VIC,590012,2026/08/17 07:20:00
2026/08/16,MRP,580100,PIPE,9.467,0.000,9.468,0.000,,,NT,Regional - NT,590017,2026/08/17 09:06:17
2026/08/16,MSP,520053,PIPE,112.640,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/08/17 12:46:30
2026/08/16,MSP,520053,PIPE,0.000,0.000,120.628,0.000,,,SA,Moomba Hub,550017,2026/08/17 12:46:30
2026/08/16,MSP,520053,PIPE,33.444,0.000,0.000,4.027,,,NSW,Regional - NSW,590011,2026/08/17 12:46:30
2026/08/16,MSP,520053,PIPE,8.983,0.000,0.000,0.000,,,NSW,Regional - ACT,590015,2026/08/17 12:46:30
2026/08/16,MSP,520053,PIPE,0.000,0.000,64.707,0.000,,,NSW,Culcairn,590016,2026/08/17 12:46:30
2026/08/16,Newport,533171,BBGPG,0.005,0.000,0.000,0.000,,,VIC,Melbourne,590008,2026/08/17 11:00:01
2026/08/16,NGP,580050,PIPE,0.000,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:01:14
2026/08/16,NGP,580050,PIPE,0.000,0.000,0.000,0.000,,,NT,Regional - NT,590017,2026/08/17 12:01:14
2026/08/16,NGS,520060,STOR,0.220,0.592,0.000,0.000,675.482,76.793,NSW,Sydney,520008,2026/08/17 10:18:02
2026/08/16,Oakey PS,544095,BBGPG,0.000,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:46:30
2026/08/16,Orana,540084,PROD,0.000,168.530,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/21 11:30:07
2026/08/16,Orbost,530041,PROD,0.000,73.514,0.000,0.000,,,VIC,Regional - VIC,590012,2026/08/17 12:01:05
2026/08/16,Orica,544011,BBLARGE,9.738,0.000,0.000,0.000,,,QLD,Regional - QLD,590001,2026/08/17 12:01:06
2026/08/16,Orica (Kooragang Island),523206,BBLARGE,39.203,0.000,0.000,0.000,,,NSW,Sydney,520008,2026/08/17 13:00:00
